"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
110,21.2111506195259,0.23466239843499,0,19.9042336321698,521.450771795481,3578.83375077919,503.275,933.225,6472.4,2.70178804978714,2.96982487438533,3.81106460474564,23155.8764683989,4.36466122403366,-0.301029995663981,1.13852714593657,-0.301029995663981
111,20.9237517544441,0.236304457111169,0,19.2437704433429,514.932443398288,3388.87250017158,503.8,953.6,7038.275,2.70224451561127,2.97917978139613,3.84746614307634,26569.5796744785,4.42438468401139,-0.301029995663981,1.20411998265592,-0.301029995663981
112,20.5967210879988,0.239107147684718,0.0178709747766801,18.4703870212369,510.873408053663,3299.85587507563,503.8,978.075,7593.375,2.70224451561127,2.99018852414416,3.88043482462939,29874.4269061508,4.47529958278017,-0.301029995663981,1.38021124171161,-0.301029995663981
113,20.2351160463523,0.241773196418109,0.0357091619414976,17.6014505485735,509.789623714531,3282.46935448258,503.8,998.075,8139.75,2.70224451561127,2.99898682516485,3.91061098467441,33156.8962606334,4.52057387049202,-0.301029995663981,1.24224012364766,-0.301029995663981
114,19.8450035769053,0.243207270503963,0.0431696875668781,16.6497133851591,511.35695048373,3320.23606611282,505.325,1019.4,8687.6,2.7035603981111,3.00813152940163,3.93889963297982,36477.1323267463,4.56202068865793,-0.301029995663981,1.33181590312586,-0.301029995663981
115,19.4326173721793,0.242726378844848,0.0385889435089027,15.6246429556843,514.651220073367,3401.89032060465,505.325,1035.775,9237.375,2.7035603981111,3.01502551288018,3.96554855871209,39879.0226473509,4.60074450610743,-0.301029995663981,1.12923107690825,-0.301029995663981
116,19.0035226554981,0.24016973775941,0.0236094011080417,14.5360027427548,518.473445550099,3511.90732327142,505.325,1055.3,9822.25,2.7035603981111,3.02315146422835,3.9922104786726,43390.9299706223,4.63739895819055,-0.301029995663981,1.24224012364766,-0.301029995663981
117,18.5619360954602,0.235890798048185,0.00265124647713388,13.398317218583,521.682321451138,3637.8138141729,505.8,1078.15,10377.65,2.70396528514765,3.03242451915384,4.01609892090137,47028.7437847952,4.6723633781801,-0.301029995663981,1.23543715894462,-0.301029995663981
118,18.1103112307492,0.230640388654152,0,12.2345529212285,523.462339162132,3770.72670790821,505.8,1083.95,10929.925,2.70396528514765,3.03469991260661,4.03861694210479,50799.4704927034,4.70585918544739,-0.301029995663981,0.620110502660054,-0.301029995663981
119,17.6492447939922,0.225373060436839,0,11.0775183287194,523.47710763071,3904.81431038263,505.8,1103.075,11472.225,2.70396528514765,3.04218712752576,4.05964760626188,54704.284803086,4.73802134449534,-0.301029995663981,1.03761109187262,-0.301029995663981
120,17.1776981244775,0.221023587733093,0,9.96808758374383,521.887994819514,4036.42786478147,506.275,1114.175,11996.475,2.70436937906512,3.04657684778075,4.07905365292619,58740.7126678675,4.76893921126824,-0.301029995663981,1.07918124604762,-0.301029995663981
121,16.6934725201322,0.218304159990453,0,8.9502336090719,519.250446399497,4163.30659550332,506.275,1127.3,12544.95,2.70436937906512,3.05154350108222,4.09846893332432,62904.0192633708,4.79867839565411,-0.301029995663981,0.685703339379411,-0.301029995663981
122,16.1938380006399,0.217564764688494,0,8.06378483363068,516.326867444878,4283.99127481416,507.275,1137.775,13079.85,2.70522642361788,3.05556041326771,4.1166020938387,67188.010538185,4.82729178166006,-0.301029995663981,0.92738743515445,-0.301029995663981
123,15.6761977832872,0.2187420484571,0.000510150505478757,7.33654942797931,513.870166487829,4397.44523156356,507.75,1146.35,13639.175,2.70562894058247,3.05885516306958,4.13478805252156,71585.4557697486,4.85482479436697,-0.301029995663981,0.809950975458185,-0.301029995663981
124,15.1386772070822,0.221400030621688,0.0193811693666066,6.77778101054225,512.433367308839,4502.83443004704,508.275,1156.15,14210.975,2.70608178006201,3.06248878521572,4.15262375719246,76088.2901997956,4.8813178250634,-0.301029995663981,0.809950975458185,-0.301029995663981
125,14.5805524634275,0.224844835112251,0.0323569942187335,6.3747887208685,512.248924364928,4595.27443507108,509.8,1163.675,14758.075,2.70738650286365,3.06532213095523,4.16902964123292,80687.7043032502,4.90680735925619,-0.301029995663981,0.536467154608605,-0.301029995663981
126,14.0024740871023,0.228280090436958,0.0359826405785795,6.0938476428193,513.200368717766,4677.23219069173,509.8,1173.15,15322.125,2.70738650286365,3.06884325681036,4.18531894915569,85374.1847703287,4.93132656967421,-0.301029995663981,0.92738743515445,-0.301029995663981
127,13.4064834437536,0.230963204324604,0.0294851377449664,5.88559051785787,514.884394960136,4748.9243126416,510.325,1180.2,15872.4,2.70783666017276,3.07146892645284,4.20064247579301,90137.5439339765,4.95490572024868,-0.301029995663981,0.602059991327962,-0.301029995663981
